Voltage [V],Current [A]
-0.499198,0.0841438
-0.42866,0.0841317
-0.35805,0.0840564
-0.287521,0.0840097
-0.217238,0.0840017
-0.145875,0.0840595
-0.0760955,0.0840153
-0.00547723,0.0840343
0.0642051,0.0840239
0.133806,0.0839671
0.204075,0.0840096
0.274773,0.0838862
0.344951,0.0838775
0.415483,0.0838272
0.486508,0.0837691
0.556531,0.083725
0.62825,0.0836566
0.69759,0.0836552
0.768364,0.0835335
0.838811,0.0835585
0.90909,0.0834755
0.979694,0.0834205
1.04976,0.0834447
1.12075,0.0834074
1.19137,0.0834287
1.26169,0.0833852
1.33224,0.0834382
1.40216,0.0834114
1.47254,0.0834257
1.54332,0.0834759
1.61401,0.0834374
1.68429,0.0834595
1.75506,0.083426
1.82533,0.0834741
1.89541,0.0834768
1.96602,0.083462
2.03667,0.0834637
2.1069,0.0834211
2.17744,0.083501
2.24817,0.0834477
2.31866,0.0834583
2.38857,0.0834079
2.45895,0.0832832
2.53043,0.0832442
2.59975,0.0831165
2.67038,0.0831888
2.74133,0.0831382
2.81161,0.0830988
2.88206,0.0831206
2.95182,0.0830894
3.02318,0.0831229
3.09396,0.0830664
3.16394,0.0830776
3.23499,0.0830498
3.30552,0.0830712
3.37547,0.083074
3.44534,0.082973
3.51658,0.0830367
3.58694,0.0829561
3.65691,0.0829567
3.72804,0.08291
3.79829,0.0828883
3.86882,0.0829389
3.9392,0.0828884
4.01059,0.0829827
4.07967,0.0829264
4.1505,0.0829208
4.22187,0.0829187
4.29203,0.0828894
4.36281,0.0829181
4.43267,0.0828506
4.50308,0.0828601
4.57456,0.0827936
4.6439,0.0828029
4.71471,0.082779
4.78473,0.0827254
4.85471,0.0827434
4.92561,0.0826161
4.99622,0.0826055
5.06617,0.0824238
5.13724,0.0821903
5.20751,0.0818959
5.27792,0.0814315
5.34865,0.0808796
5.41915,0.0800744
5.48975,0.0791449
5.55996,0.0779968
5.63108,0.0765592
5.70156,0.0748964
5.77142,0.0728847
5.843,0.07052
5.91243,0.0676419
5.98299,0.0643698
6.05289,0.0604771
6.12337,0.0559093
6.19419,0.0507079
6.26464,0.0446632
6.3355,0.0377382
6.40573,0.0298135
6.47634,0.0209542
6.54648,0.0110829
6.61667,1.51E-06
6.6877,-0.0123091
6.7582,-0.0257955
6.82893,-0.0406764
6.89918,-0.0568061
6.9701,-0.0741897
7.04007,-0.0928807
7.08251,-0.104995
7.08251,-0.104995
7.08273,-0.104995
7.08288,-0.104992
7.0821,-0.104996
7.08269,-0.105
7.08252,-0.104997
7.08124,-0.104993
7.0818,-0.104996
7.08207,-0.104997
7.08158,-0.104994
7.0812,-0.104995
7.08163,-0.104997
7.08113,-0.104995
7.08071,-0.104996
7.08069,-0.104995
7.08114,-0.104997
7.08108,-0.104999
7.0804,-0.104997
7.08075,-0.104999
7.08062,-0.104997
7.08011,-0.104997
7.08037,-0.104995
7.08031,-0.104993
7.08015,-0.104997
7.08016,-0.104996
7.08015,-0.104995
7.08023,-0.104999
7.07942,-0.104993
7.08014,-0.105001
7.07951,-0.104994
7.07939,-0.104995
7.07969,-0.104998
7.07921,-0.104993
7.07926,-0.104995
7.07934,-0.105001
7.07915,-0.104998
7.07889,-0.104994
7.07856,-0.104997
7.0786,-0.104998
7.07927,-0.104999
7.07898,-0.105002
